CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-46.0 dBm
idx,I,Q
0,-52,13
1,49,-16
2,-52,11
3,49,-18
4,-52,15
5,47,-21
6,-47,26
7,44,-28
8,-42,32
9,-37,38
10,-36,42
11,-32,42
12,-22,46
13,-13,51
14,-8,52
15,4,51
16,2,53
17,9,52
18,22,46
19,29,44
20,33,41
21,41,37
22,44,30
23,49,17
24,49,17
25,51,14
26,51,3
27,53,3
28,53,-8
29,50,-13
30,50,-17
31,44,-27
32,42,-32
33,35,-41
34,27,-43
35,26,-48
36,18,-49
37,11,-51
38,1,-54
39,-2,-52
40,-4,-54
41,-19,-50
42,-24,-49
43,-28,-46
44,-40,-38
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-52.0 dBm
idx,I,Q
0,3,40
1,-4,-40
2,6,41
3,-7,-37
4,9,40
5,-9,-39
6,9,39
7,-7,-40
8,13,37
9,20,35
10,26,32
11,28,28
12,28,28
13,37,18
14,38,14
15,41,9
16,41,3
17,42,-1
18,41,-6
19,39,-13
20,39,-14
21,34,-23
22,30,-26
23,27,-32
24,24,-34
25,16,-40
26,12,-38
27,6,-41
28,0,-40
29,-4,-40
30,-8,-41
31,-14,-38
32,-17,-35
33,-24,-32
34,-28,-29
35,-34,-22
36,-34,-18
37,-40,-13
38,-40,-9
39,-41,-10
40,-42,-1
41,-39,6
42,-36,15
43,-40,15
44,-35,21
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-52.0 dBm
idx,I,Q
0,6,41
1,-8,-39
2,12,39
3,-14,-39
4,15,38
5,-16,-37
6,16,38
7,-18,-36
8,20,34
9,28,29
10,29,26
11,32,22
12,35,19
13,38,14
14,39,9
15,43,1
16,41,-6
17,40,-13
18,39,-13
19,37,-16
20,33,-23
21,28,-30
22,23,-35
23,22,-37
24,25,-33
25,9,-41
26,8,-41
27,-2,-41
28,-4,-40
29,-18,-38
30,-11,-39
31,-21,-35
32,-27,-31
33,-30,-29
34,-33,-24
35,-35,-16
36,-39,-15
37,-41,-11
38,-40,-7
39,-40,2
40,-38,4
41,-40,12
42,-35,22
43,-37,21
44,-32,23
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-52.0 dBm
idx,I,Q
0,41,-2
1,-40,3
2,42,-3
3,-43,8
4,41,-11
5,-39,11
6,37,-12
7,-38,12
8,38,-15
9,34,-21
10,28,-29
11,28,-29
12,26,-31
13,19,-36
14,14,-38
15,11,-42
16,2,-41
17,-1,-40
18,-5,-42
19,-12,-39
20,-21,-36
21,-26,-35
22,-31,-29
23,-32,-27
